topology,nodes,edges,method,k,objective,time_sec
Gambia,28,28,ILP,3,107.28363524108549,0.042999982833862305
KentMan,28,29,Greedy,3,0.0,0.0
KentMan,28,29,LocalSearch,3,0.0,0.0009999275207519531
KentMan,28,29,ILP,3,0.0,0.04200005531311035
Shentel ,28,35,Greedy,3,0.0,0.0
Shentel ,28,35,LocalSearch,3,0.0,0.0
Shentel ,28,35,ILP,3,0.0,0.053999900817871094
ARPANET,29,32,Greedy,3,1102.5471614774638,0.0
ARPANET,29,32,LocalSearch,3,1102.5471614774638,0.0
ARPANET,29,32,ILP,3,1102.5471614774638,0.046000003814697266
BizNetworks,29,33,Greedy,3,448.73912232977995,0.0
BizNetworks,29,33,LocalSearch,3,448.73912232977995,0.0
BizNetworks,29,33,ILP,3,448.73912232977995,0.04799985885620117
CESNET,29,33,Greedy,3,228.3370261972043,0.0
CESNET,29,33,LocalSearch,3,228.33702619720427,0.0009999275207519531
CESNET,29,33,ILP,3,228.33702619720432,0.046000003814697266
Janet Backbone,29,45,Greedy,3,394.1655581465771,0.0
Janet Backbone,29,45,LocalSearch,3,183.99973835428634,0.0
Janet Backbone,29,45,ILP,3,183.99973835428634,0.04799985885620117
ARN,30,29,Greedy,3,426.31697674169226,0.0
ARN,30,29,LocalSearch,3,426.31697674169226,0.0010001659393310547
ARN,30,29,ILP,3,426.3169767416923,0.06999993324279785
Cynet,30,29,Greedy,3,41.52684340559805,0.0
Cynet,30,29,LocalSearch,3,41.50459950043198,0.0009999275207519531
Cynet,30,29,ILP,3,41.50459950043198,0.04999995231628418
ERNET,30,32,Greedy,3,2666.4599158991027,0.0
ERNET,30,32,LocalSearch,3,2083.73737613549,0.0010001659393310547
ERNET,30,32,ILP,3,2083.73737613549,0.04799985885620117
GTS Hungary,30,31,Greedy,3,158.18465418500597,0.0
GTS Hungary,30,31,LocalSearch,3,158.18465418500597,0.0
GTS Hungary,30,31,ILP,3,158.18465418500597,0.04699993133544922
Renater,30,36,Greedy,3,251.89701288601347,0.0
Renater,30,36,LocalSearch,3,251.89701288601347,0.0
Renater,30,36,ILP,3,251.89701288601344,0.05200004577636719
WIDE,30,33,Greedy,3,3782.5428679019724,0.0
WIDE,30,33,LocalSearch,3,3782.5428679019733,0.0
WIDE,30,33,ILP,3,3782.5428679019733,0.05200004577636719
DIGEX,31,35,Greedy,3,2121.439288730458,0.0
DIGEX,31,35,LocalSearch,3,2121.439288730458,0.0
DIGEX,31,35,ILP,3,2121.439288730458,0.04999995231628418
IINET ,31,35,Greedy,3,2225.3994619416626,0.0
IINET ,31,35,LocalSearch,3,2225.3994619416635,0.0010001659393310547
IINET ,31,35,ILP,3,2225.3994619416626,0.05099987983703613
RNP,31,34,Greedy,3,2304.288667901597,0.0
RNP,31,34,LocalSearch,3,1767.991996416098,0.0009999275207519531
RNP,31,34,ILP,3,1767.9919964160977,0.04999995231628418
Canerie,32,41,Greedy,3,3181.2309646652593,0.0
Canerie,32,41,LocalSearch,3,2304.155482081428,0.0
Canerie,32,41,ILP,3,2304.155482081428,0.04399991035461426
GTS Czech Republic,32,33,Greedy,3,309.4462976245799,0.0
GTS Czech Republic,32,33,LocalSearch,3,309.44629762457987,0.0
GTS Czech Republic,32,33,ILP,3,309.4462976245799,0.054000139236450195
BICS,33,48,Greedy,3,1652.6782616238117,0.0
BICS,33,48,LocalSearch,3,993.636644839875,0.0
BICS,33,48,ILP,3,993.6366448398751,0.06200003623962402
CRL,33,38,Greedy,3,2224.0638661897237,0.0
CRL,33,38,LocalSearch,3,1898.3467032570106,0.0
CRL,33,38,ILP,3,1898.34670325701,0.05500006675720215
GTS Poland,33,37,Greedy,3,377.5974026526528,0.0
GTS Poland,33,37,LocalSearch,3,321.8938979944769,0.0
GTS Poland,33,37,ILP,3,321.89389799447684,0.05900001525878906
